,steps,numpy,base
394,791,7.380410570996381e-05,8.35612628621415e-05
395,793,8.780321142434591e-05,8.57850485720389e-05
396,795,6.908086428406283e-05,0.00010649550571283076
397,797,7.337683143175257e-05,9.346100142335802e-05
398,799,6.620871571223168e-05,8.417357428178159e-05
399,801,7.138172714154019e-05,8.592101142702241e-05
400,803,6.98708228576704e-05,8.699716714805357e-05
401,805,7.087388714353437e-05,8.8699497142183e-05
402,807,6.981197999526299e-05,9.809199142962047e-05
403,809,7.707120856918793e-05,9.84000885702179e-05
404,811,7.64702157123663e-05,8.710233142275165e-05
405,813,7.545527571502525e-05,9.47599728559518e-05
406,815,7.309905000771063e-05,0.00010353773000523299
407,817,7.538133142588775e-05,9.977968857128871e-05
408,819,7.531045571470584e-05,9.986518571167834e-05
409,821,7.328659428302282e-05,0.00010041081000183893
410,823,7.633999428695202e-05,8.798995143089478e-05
411,825,7.79098228589906e-05,0.0001048918014307024
412,827,9.111290142235313e-05,9.390390714283318e-05
413,829,7.907930285520186e-05,0.0001353533400028287
414,831,9.853918428624248e-05,0.0001255292714293838
415,833,8.947869857105876e-05,0.00010228699999840631
416,835,7.291624999717376e-05,0.00010055172571030978
417,837,7.195144857178093e-05,0.00010361542714495694
418,839,7.199668285466033e-05,0.00010444391000159418
419,841,7.7474855715991e-05,9.088615857243505e-05
420,843,7.34253071407563e-05,8.900783286143062e-05
421,845,7.350739428407646e-05,8.916256000052921e-05
422,847,7.41331528583292e-05,0.00010212392857023847
423,849,7.695758713972672e-05,0.0001014787342916991
424,851,6.906545428137179e-05,8.972291714079413e-05
425,853,7.030317428871059e-05,9.589099427882632e-05
426,855,7.29285200005896e-05,0.00012598788428606764
427,857,0.00010927833570739105,0.00011595976428517522
428,859,7.43946271411135e-05,9.148168428250106e-05
429,861,7.636543714657559e-05,0.00012843385428433458
430,863,9.547194428055912e-05,9.426745857386517e-05
431,865,9.226382714457161e-05,9.186877142773092e-05
432,867,7.527308428377313e-05,0.00013011756142597213
433,869,8.898792571406895e-05,9.607335428362213e-05
434,871,9.679390571753695e-05,9.576368428627445e-05
435,873,8.154265142885769e-05,0.00011544319857161359
436,875,8.100373714634251e-05,9.266815571338937e-05
437,877,7.710750428356863e-05,9.591053142555342e-05
438,879,7.982066856909244e-05,9.290924857071203e-05
439,881,7.859653571358649e-05,0.00010808486714138001
440,883,8.200746714334984e-05,0.00010100808857064942
441,885,7.374599428658257e-05,9.263762571468501e-05
442,887,8.092034143243966e-05,9.460201000235558e-05
443,889,8.08515057126767e-05,0.00012569389285740077
444,891,8.689663000300892e-05,9.557835286094425e-05
445,893,7.686714429187955e-05,9.510245428568201e-05
446,895,7.45099885716627e-05,9.584209428794566e-05
447,897,8.229036286138581e-05,0.00011224844571448298
448,899,7.82207642857559e-05,9.602275999506154e-05
449,901,7.872697856977798e-05,0.0001085547099994853
450,903,8.241952571812104e-05,0.00010956497857478099
